s1,s2,evidence_grade,relation_type
"archaeological-stratigraphy","porcelain-sherds","B","craft"
"arita-jingdezhen","arita-kiln","B","related"
"arita-jingdezhen","blue-and-white","B","related"
"arita-jingdezhen","japan-ceramics","B","related"
"arita-kiln","blue-and-white","A","related"
"arita-kiln","delft-jingdezhen","A","related"
"arita-kiln","europe-jingdezhen","A","related"
"arita-kiln","japan-ceramics","A","related"
"arita-kiln","korean-jingdezhen-bluewhite","A","related"
"bat-trang","chinese-bluewhite-global-copy","B","related"
"binary-formula","europe-porcelain","A","related"
"binary-formula","jingdezhen","A","craft"
"binary-formula","kaolin-clay","A","craft"
"binary-formula","porcelain-stone","A","craft"
"blue-and-white","japanese-export-porcelain","A","related"
"blue-and-white","southeast-asia-ceramics","A","related"
"blue-white-cobalt","blue-and-white","B","craft"
"blue-white-cobalt","jingdezhen","A","craft"
"celadon-glaze-jingdezhen","qingbai-porcelain","B","craft"
"ceramic-guilds","jingdezhen","A","related"
"ceramic-guilds","porcelain-craft-division-labor","A","related"
"ceramic-workers","jingdezhen","A","person"
"ceramic-workers","porcelain-craft-division-labor","B","related"
"chang-river","jingdezhen","A","related"
"chang-river","river-transport","A","related"
"changnan-town","jingdezhen","B","period"
"changsha-kiln","jingdezhen","B","related"
"chenghua-doucai","blue-and-white","B","craft"
"chenghua-doucai","doucai-porcelain","B","period"
"chenghua-doucai","imperial-kiln","B","period"
"chenghua-doucai-chicken-cup","fencai","A","object"
"chinoiserie","blue-and-white","A","related"
"chinoiserie","export-porcelain","A","related"
"chinoiserie","meissen-jingdezhen","B","related"
"civilian-kilns","imperial-civilian-kilns","B","related"
"cizhou-kiln","jingdezhen","B","related"
"dehua-kiln","jingdezhen","B","related"
"delft-jingdezhen","chinoiserie","B","related"
"delft-jingdezhen","europe-jingdezhen","B","related"
"delft-jingdezhen","japanese-export-porcelain","A","related"
"ding-kiln","jingdezhen","B","related"
"doucai-porcelain","blue-and-white","B","craft"
"doucai-porcelain","overglaze-enamels","B","craft"
"dragon-kiln","kiln-firing","B","craft"
"dutch-east-india-company","europe-jingdezhen","B","related"
"dutch-east-india-company","export-porcelain","B","related"
"dutch-east-india-company","southeast-asia-ceramics","A","related"
"europe-jingdezhen","chinoiserie","A","related"
"europe-jingdezhen","delft-jingdezhen","B","related"
"europe-jingdezhen","export-porcelain","B","related"
"europe-jingdezhen","japanese-export-porcelain","A","related"
"europe-porcelain","japanese-export-porcelain","A","related"
"europe-porcelain","meissen-porcelain","B","related"
"export-kiln-production","export-porcelain","B","related"
"export-porcelain","chinoiserie","A","related"
"export-porcelain","europe-jingdezhen","A","related"
"export-porcelain","islamic-ceramics","A","related"
"export-porcelain","jingdezhen","A","related"
"fencai","europe-porcelain","B","related"
"fencai","fencai-technique","B","craft"
"fencai-technique","fencai","B","craft"
"fencai-technique","overglaze-enamels","A","craft"
"fuliang-county","jingdezhen","B","related"
"ge-kiln","jingdezhen","B","related"
"ge-type-imitation","ge-kiln","B","craft"
"guan-kiln","jingdezhen","B","related"
"huang-yunpeng","blue-and-white","A+","person"
"icheon-ceramics","korea-ceramics","B","related"
"imperial-civilian-kilns","imperial-kiln","A","related"
"imperial-kiln-management","imperial-civilian-kilns","A","related"
"imperial-kiln-management","imperial-kiln","A","related"
"imperial-porcelain-debris","porcelain-sherds","B","object"
"islamic-ceramics","blue-and-white","B","related"
"islamic-ceramics","islamic-world-jingdezhen","A","related"
"islamic-world-jingdezhen","blue-and-white","B","related"
"islamic-world-jingdezhen","export-porcelain","B","related"
"islamic-world-jingdezhen","southeast-asia-ceramics","B","related"
"iznik-ceramics","blue-and-white","A","related"
"japan-ceramics","export-porcelain","B","related"
"japan-ceramics","southeast-asia-ceramics","B","related"
"japanese-export-porcelain","arita-jingdezhen","B","related"
"japanese-export-porcelain","dutch-east-india-company","A","related"
"japanese-export-porcelain","export-porcelain","B","related"
"japanese-export-porcelain","japan-ceramics","A","object"
"japanese-export-porcelain","korean-jingdezhen-bluewhite","B","related"
"japanese-export-porcelain","southeast-asia-ceramics","A","related"
"jean-baptiste-du-halde","europe-porcelain","B","source"
"jean-baptiste-du-halde","europe-porcelain","A","related"
"jiajing-kinrande-ewer","kinrande-export","B","object"
"jiajing-red-ground-dish","blue-and-white","B","object"
"jiajing-wanli-kiln","imperial-kiln","B","period"
"jiajing-wanli-kiln","ming-imperial-bluewhite","B","period"
"jingdezhen-taolu","tang-ying","A","source"
"joseon-ceramics","korea-ceramics","B","period"
"joseon-ceramics","korean-jingdezhen-bluewhite","B","related"
"jun-glaze-jingdezhen","jun-kiln","B","craft"
"jun-kiln","jingdezhen","B","related"
"kangxi-covered-ewer","overglaze-enamels","B","object"
"kangxi-covered-jar","overglaze-enamels","B","object"
"kangxi-export-porcelain","dutch-east-india-company","B","related"
"kangxi-export-porcelain","europe-jingdezhen","A","related"
"kangxi-export-porcelain","export-porcelain","B","period"
"kangxi-export-porcelain","japanese-export-porcelain","A","related"
"kangxi-famille-verte-dragon","fencai","B","object"
"kangxi-famille-verte-figure","fencai","B","object"
"kangxi-famille-verte-gilt-vase","overglaze-enamels","B","object"
"kangxi-famille-verte-monteith","overglaze-enamels","B","object"
"kangxi-famille-verte-vase","overglaze-enamels","B","object"
"kangxi-oxblood-vase","red-glaze-jingdezhen","B","object"
"kangxi-peachbloom-vase","peachbloom-glaze","B","object"
"kaolin-clay","binary-formula","A","craft"
"kaolin-clay","jingdezhen","A","craft"
"kaolin-clay","porcelain-raw-material-system","A","craft"
"kiln-firing","wood-fired-kiln","B","craft"
"kiln-fuel-system","jingdezhen","A","craft"
"kiln-fuel-system","porcelain-raw-material-system","A","craft"
"kiln-guilds","ceramic-guilds","B","related"
"kiln-owners","kiln-guilds","B","related"
"kinrande-export","export-porcelain","B","related"
"kinrande-export","japanese-export-porcelain","B","object"
"korea-ceramics","japan-ceramics","B","related"
"korea-ceramics","jingdezhen","B","related"
"korea-ceramics","joseon-ceramics","B","period"
"korean-jingdezhen-bluewhite","blue-and-white","B","related"
"korean-jingdezhen-bluewhite","japan-ceramics","B","related"
"korean-jingdezhen-bluewhite","joseon-ceramics","B","related"
"korean-jingdezhen-bluewhite","korea-ceramics","B","related"
"kosometsuke","japan-ceramics","B","related"
"kraak-porcelain","arita-kiln","A","related"
"kraak-porcelain","blue-and-white","B","related"
"kraak-porcelain","blue-and-white","B","object"
"kraak-porcelain","delft-jingdezhen","A","related"
"kraak-porcelain","dutch-east-india-company","B","related"
"kraak-porcelain","export-porcelain","B","related"
"kraak-porcelain","islamic-ceramics","B","related"
"lang-tingji","colored-glaze","A+","person"
"lang-tingji","imperial-kiln","A+","kiln"
"langyao-red","red-glaze-jingdezhen","B","period"
"liling-kiln","jingdezhen","B","related"
"limoges-porcelain","europe-jingdezhen","B","related"
"longquan-imitation-jingdezhen","longquan-kiln","B","craft"
"longquan-kiln","jingdezhen","B","related"
"meissen-jingdezhen","europe-jingdezhen","B","related"
"meissen-jingdezhen","europe-porcelain","B","related"
"meissen-jingdezhen","meissen-porcelain","B","related"
"meissen-porcelain","japanese-export-porcelain","B","related"
"meissen-porcelain","meissen-jingdezhen","B","related"
"met-1991-253-33","blue-and-white","A","related"
"ming-imperial-bluewhite","blue-and-white","B","period"
"ming-imperial-bluewhite","imperial-kiln","B","period"
"ming-imperial-bluewhite","xuande-bluewhite","B","period"
"ming-imperial-kiln","blue-and-white","A","related"
"ming-imperial-kiln","imperial-kiln","A","kiln"
"ming-kinrande-jar","kinrande-export","B","object"
"ming-landscape-dish","blue-and-white","A","object"
"nian-xiyao","imperial-kiln","A+","kiln"
"overglaze-enamels","fencai","B","craft"
"peachbloom-glaze","red-glaze-jingdezhen","B","craft"
"porcelain-clay-processing","binary-formula","A","craft"
"porcelain-clay-processing","jingdezhen","A","craft"
"porcelain-craft-division-labor","export-porcelain","A","craft"
"porcelain-craft-division-labor","jingdezhen","A","craft"
"porcelain-market","porcelain-trade","B","related"
"porcelain-marks","reign-marks","B","related"
"porcelain-raw-material-system","binary-formula","A","craft"
"porcelain-raw-material-system","jingdezhen","A","craft"
"porcelain-sherds","archaeological-stratigraphy","B","craft"
"porcelain-standardization","export-porcelain","A","craft"
"porcelain-standardization","jingdezhen","A","craft"
"porcelain-stone","binary-formula","A","craft"
"porcelain-stone","jingdezhen","A","craft"
"porcelain-stone","porcelain-raw-material-system","A","craft"
"porcelain-trade","export-porcelain","B","related"
"porcelain-wharf","jingdezhen","A","related"
"porcelain-wharf","river-transport","A","related"
"portuguese-porcelain-trade","europe-jingdezhen","B","related"
"portuguese-porcelain-trade","export-porcelain","B","related"
"private-kiln-high-end","civilian-kilns","B","related"
"qianlong-emperor","qianlong-jingdezhen-porcelain","B","period"
"qianlong-jingdezhen-porcelain","jingdezhen","B","period"
"qin-xilin","jingdezhen","B","person"
"qing-colors","fencai","A","related"
"qing-colors","imperial-kiln","A","kiln"
"qing-peach-shaped-ewer","blue-and-white","B","object"
"qing-peach-shaped-ewer","underglaze-red","B","object"
"qingbai-porcelain","islamic-world-jingdezhen","B","related"
"r23","binary-formula","A","source"
"r23","blue-and-white","A","source"
"r23","europe-porcelain","A","source"
"r23","export-porcelain","A","source"
"r23","islamic-world-jingdezhen","B","source"
"r23","japan-ceramics","B","source"
"r23","southeast-asia-jingdezhen","B","source"
"r23","unesco-2026","A","source"
"red-glaze-jingdezhen","underglaze-red","B","craft"
"red-glaze-jingdezhen","xuande-copper-red-bowl","A","object"
"red-glaze-jingdezhen","yongle-copper-red-dish","A","object"
"reign-marks","imperial-kiln","B","related"
"river-transport","jingdezhen","A","related"
"ru-kiln","jingdezhen","B","related"
"ru-type-imitation","ru-kiln","B","craft"
"sacrificial-red","red-glaze-jingdezhen","B","craft"
"sawankhalok","qingbai-porcelain","B","related"
"seto-kiln","goryeo-celadon","A","related"
"seto-kiln","japan-ceramics","B","related"
"sevres-porcelain","europe-jingdezhen","B","related"
"shiwan-kiln","jingdezhen","B","related"
"southeast-asia-ceramics","islamic-ceramics","B","related"
"southeast-asia-ceramics","southeast-asia-jingdezhen","A","related"
"southeast-asia-jingdezhen","export-porcelain","B","related"
"stoke-on-trent","uk-ceramics","B","related"
"sweet-white-porcelain","blue-and-white","B","related"
"tang-ying","colored-glaze","A","person"
"tang-ying","fencai","A","person"
"tang-ying","imperial-kiln","A","person"
"tang-ying","tang-ying-jun-vase","A","person"
"tang-ying-jun-vase","imperial-kiln","A","kiln"
"tao-cheng-jishi","tang-ying","A","source"
"tao-shuo","tian-gong-kai-wu","B","related"
"tao-shuo","zhu-yan","A","person"
"tao-shuo","zhu-yan","A","source"
"tian-gong-kai-wu","tang-ying","A","source"
"tian-gong-kai-wu","tao-shuo","B","source"
